undir_pair,dir_spair,dir_ppair,undir_conn,dir_sconn,dir_pconn,dir_uni_sconn,dir_uni_pconn,dir_bi_sconn,dir_bi_pconn,undir_perc,dir_sperc,dir_pperc
1985.21,4668.04,3934.68,120.24,402.77,368.71,387.55,352.51,15.22,16.2,0.060550397965018196,0.08628177321019459,0.09370792576143275
1794.42,1054.68,1631.28,164.01,147.65,190.05,139.7,181.0,7.95,9.05,0.09138255905000861,0.1400036698524289,0.11650829948488102
1146.6,270.4,432.68,140.05,50.97,56.41,47.38,53.48,3.59,2.93,0.12212781801070191,0.18843793819923604,0.13035548494713264
623.82,76.29,88.69,93.48,18.09,12.01,16.75,11.39,1.34,0.62,0.14985453346794958,0.23768226005244897,0.13514556250729354
307.34,22.04,15.03,54.97,6.13,2.4,5.68,2.23,0.45,0.17,0.17854322620821822,0.2777153776348552,0.16188457561605016
140.92,8.04,2.28,29.63,2.53,0.36,2.28,0.33,0.25,0.03,0.2093851818507477,0.3230235597735595,0.13216666666666665
60.88,2.97,0.34,14.61,0.95,0.06,0.85,0.06,0.1,0.0,0.23962197775951505,0.3398571428571428,0.04
26.1,1.39,0.02,6.71,0.44,0.0,0.41,0.0,0.03,0.0,0.25598520581436346,0.2828333333333333,0.0
11.39,0.68,0.0,3.28,0.27,0.0,0.23,0.0,0.04,0.0,0.27708708837452606,0.2,0.0
8.32,0.47,0.0,3.02,0.2,0.0,0.17,0.0,0.03,0.0,0.35929409479409474,0.16,0.0
