neurons,autapses,actual_edges,uni,bi,potential_edges,null
111,0,659,627,16,12210,5462
111,0,659,619,20,12210,5466
111,0,659,625,17,12210,5463
111,0,659,609,25,12210,5471
111,0,659,609,25,12210,5471
111,0,659,611,24,12210,5470
111,0,659,617,21,12210,5467
111,0,659,619,20,12210,5466
111,0,659,621,19,12210,5465
111,0,659,621,19,12210,5465
111,0,659,611,24,12210,5470
111,0,659,599,30,12210,5476
111,0,659,609,25,12210,5471
111,0,659,627,16,12210,5462
111,0,659,613,23,12210,5469
111,0,659,617,21,12210,5467
111,0,659,607,26,12210,5472
111,0,659,617,21,12210,5467
111,0,659,617,21,12210,5467
111,0,659,613,23,12210,5469
111,0,659,623,18,12210,5464
111,0,659,633,13,12210,5459
111,0,659,611,24,12210,5470
111,0,659,623,18,12210,5464
111,0,659,609,25,12210,5471
111,0,659,613,23,12210,5469
111,0,659,625,17,12210,5463
111,0,659,615,22,12210,5468
111,0,659,615,22,12210,5468
111,0,659,605,27,12210,5473
111,0,659,619,20,12210,5466
111,0,659,617,21,12210,5467
111,0,659,613,23,12210,5469
111,0,659,611,24,12210,5470
111,0,659,613,23,12210,5469
111,0,659,613,23,12210,5469
111,0,659,613,23,12210,5469
111,0,659,619,20,12210,5466
111,0,659,619,20,12210,5466
111,0,659,633,13,12210,5459
111,0,659,611,24,12210,5470
111,0,659,623,18,12210,5464
111,0,659,613,23,12210,5469
111,0,659,613,23,12210,5469
111,0,659,613,23,12210,5469
111,0,659,603,28,12210,5474
111,0,659,605,27,12210,5473
111,0,659,609,25,12210,5471
111,0,659,631,14,12210,5460
111,0,659,601,29,12210,5475
111,0,659,611,24,12210,5470
111,0,659,609,25,12210,5471
111,0,659,625,17,12210,5463
111,0,659,627,16,12210,5462
111,0,659,615,22,12210,5468
111,0,659,609,25,12210,5471
111,0,659,621,19,12210,5465
111,0,659,607,26,12210,5472
111,0,659,599,30,12210,5476
111,0,659,621,19,12210,5465
