undir_pair,dir_spair,dir_ppair,undir_conn,dir_sconn,dir_pconn,dir_uni_sconn,dir_uni_pconn,dir_bi_sconn,dir_bi_pconn,undir_perc,dir_sperc,dir_pperc
1232.45,3569.6,3010.49,106.81,375.17,344.95,359.61,328.81,15.56,16.14,0.08667377993314647,0.1051018624990255,0.11458702299790544
1512.89,1025.5,1446.15,156.65,144.68,182.19,136.8,173.02,7.88,9.17,0.10353369066767605,0.14109844758204187,0.12600417705313888
1073.63,255.02,396.95,133.49,47.46,51.94,44.16,48.91,3.3,3.03,0.12428876341819947,0.1862258776537047,0.1308216999702005
601.0,67.49,81.1,90.13,16.19,11.64,14.82,11.08,1.37,0.56,0.14994121945595842,0.2400652669812717,0.1435279461536668
294.4,20.4,13.14,52.38,5.68,1.94,5.2,1.86,0.48,0.08,0.1778739549686232,0.27873334670893213,0.14369200115330139
132.7,6.94,1.92,27.3,2.26,0.28,2.03,0.26,0.23,0.02,0.2056532440482772,0.3212307692307689,0.12983333333333333
57.86,2.66,0.23,13.51,0.81,0.06,0.73,0.06,0.08,0.0,0.2325520027089217,0.272952380952381,0.05
25.53,1.34,0.01,7.06,0.38,0.0,0.33,0.0,0.05,0.0,0.2728252376548043,0.21249999999999997,0.0
11.54,0.59,0.01,3.22,0.22,0.0,0.18,0.0,0.04,0.0,0.2879473350436972,0.15166666666666667,0.0
8.0,0.46,0.0,2.45,0.15,0.0,0.14,0.0,0.01,0.0,0.28198390498390496,0.12,0.0
