undir_pair,dir_spair,dir_ppair,undir_conn,dir_sconn,dir_pconn,dir_uni_sconn,dir_uni_pconn,dir_bi_sconn,dir_bi_pconn,undir_perc,dir_sperc,dir_pperc
12162.91,21742.21,16156.11,309.81,875.48,721.12,865.61,703.85,9.87,17.27,0.02547243400076796,0.04026624684758204,0.04463395371342707
6577.05,1379.48,6029.53,321.1,175.07,360.92,166.73,350.96,8.34,9.96,0.04882158506991016,0.126911926281125,0.05985815007489335
2876.37,568.8,1495.38,234.82,89.12,111.33,83.19,108.34,5.93,2.99,0.08164113298893884,0.15669206968614174,0.07443521896065322
1293.61,226.44,325.8,151.05,42.06,26.14,39.05,25.47,3.01,0.67,0.11674566377794428,0.18573480942254403,0.08031921743829112
608.73,93.15,66.18,90.49,21.43,5.19,19.86,5.11,1.57,0.08,0.14865061732975682,0.23005415628293346,0.07804349755184184
288.93,40.29,13.46,51.27,10.68,1.04,9.74,1.01,0.94,0.03,0.17734251084903374,0.26349477255993936,0.07480908586597439
140.3,19.18,2.9,29.84,5.64,0.2,5.07,0.2,0.57,0.0,0.21219396535696,0.2947396668081921,0.07242857142857144
68.35,10.27,0.5,16.52,3.08,0.04,2.76,0.04,0.32,0.0,0.24140402862603627,0.30381411888764814,0.03333333333333333
34.64,4.46,0.13,9.24,1.56,0.02,1.37,0.02,0.19,0.0,0.2655574832098548,0.35198015873015864,0.02
39.11,5.72,0.01,11.86,1.88,0.0,1.62,0.0,0.26,0.0,0.2995582868748567,0.3240051892551892,0.0
