1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1669245,228505,5549,9317,3208,5954,318,961,24,610,41,13,23,51,6,0
1669266,228443,5664,9351,3161,5914,301,866,20,667,72,19,23,54,4,0
1669217,228587,5587,9295,3198,5872,292,949,20,641,64,14,35,50,4,0
1669300,228351,5632,9384,3208,5941,310,895,21,620,68,17,31,46,1,0
1669325,228270,5694,9423,3151,5985,323,822,18,663,57,17,35,36,6,0
1669349,228203,5715,9431,3157,6009,315,811,19,668,56,17,34,37,4,0
1669207,228597,5540,9303,3230,5906,300,970,21,581,54,17,28,64,7,0
1669273,228420,5640,9361,3180,5940,308,876,21,634,63,20,28,61,0,0
1669455,227908,5781,9519,3186,6075,325,763,14,655,70,14,23,33,4,0
1669229,228551,5562,9313,3222,5886,300,970,21,614,64,14,29,43,6,1
1669396,228061,5767,9484,3170,6036,302,762,27,666,67,17,34,33,3,0
1669353,228174,5675,9469,3184,6048,326,817,24,604,45,25,39,39,3,0
1669240,228516,5574,9330,3203,5921,308,935,28,615,56,16,28,52,3,0
1669217,228592,5618,9288,3146,5886,304,912,18,686,56,13,33,53,3,0
1669287,228387,5603,9349,3217,5965,307,926,20,618,49,11,34,50,2,0
1669220,228599,5539,9289,3228,5844,302,1005,21,619,74,15,27,41,2,0
1669220,228565,5589,9310,3204,5893,287,934,29,634,61,11,32,48,8,0
1669394,228079,5705,9484,3177,6051,337,805,21,631,56,20,29,35,1,0
1669178,228696,5497,9283,3261,5817,304,1016,24,565,79,8,28,64,5,0
1669289,228374,5673,9368,3146,5969,316,851,14,671,53,18,27,51,4,1
1669237,228545,5564,9311,3167,5917,322,953,26,654,48,19,25,34,3,0
1669415,228040,5683,9476,3213,6036,342,852,15,623,63,11,27,28,1,0
1669319,228292,5608,9392,3238,5987,319,911,21,589,58,10,23,54,4,0
1669270,228430,5605,9321,3253,5924,262,963,22,617,63,17,34,38,6,0
1669307,228313,5596,9386,3285,5964,286,944,21,557,66,16,30,47,7,0
1669346,228209,5660,9442,3190,6021,336,844,16,612,49,15,37,45,3,0
1669310,228328,5631,9374,3239,5926,292,932,14,621,71,14,39,29,5,0
