1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
111146,41380,2027,2011,1419,2587,279,419,19,286,52,14,35,22,4,0
111147,41367,2038,2017,1415,2606,275,404,18,278,51,21,28,30,5,0
111155,41369,2047,2020,1392,2565,297,400,15,310,65,14,25,23,3,0
111151,41367,2019,2028,1429,2578,286,423,17,265,60,19,32,23,3,0
111126,41438,2015,2037,1374,2562,313,393,23,289,61,22,22,19,6,0
111174,41300,2056,2010,1439,2609,262,419,13,291,54,12,31,24,6,0
111195,41245,2077,2045,1428,2605,268,397,14,295,63,19,32,13,4,0
111210,41195,2063,2059,1452,2639,273,399,18,271,56,11,30,18,6,0
111148,41371,2039,2051,1385,2580,304,387,15,292,53,18,42,9,5,1
111216,41190,2098,2072,1381,2644,298,346,21,324,55,14,23,15,3,0
111158,41354,2034,2016,1407,2591,294,417,11,295,54,14,27,22,6,0
111180,41287,2054,2026,1394,2645,292,388,19,306,43,15,20,27,4,0
111185,41279,2070,2036,1402,2605,285,392,13,309,59,18,26,17,4,0
111191,41260,2083,2012,1413,2628,257,393,24,330,50,11,30,16,2,0
111139,41385,2057,2047,1374,2594,289,362,19,285,56,33,30,27,3,0
111152,41363,2036,2012,1416,2595,281,409,19,291,52,11,32,27,4,0
111132,41415,2013,2022,1415,2573,287,414,23,273,55,16,36,22,4,0
111155,41363,2008,2029,1416,2587,306,424,17,272,58,15,21,24,5,0
111162,41332,2053,2022,1413,2604,278,395,18,292,55,15,28,29,4,0
111210,41213,2058,2070,1418,2617,300,393,16,288,60,15,30,10,2,0
111169,41319,2032,2057,1396,2600,315,391,18,284,59,15,19,18,8,0
111209,41197,2091,2092,1394,2639,295,341,22,294,58,20,29,16,3,0
111180,41282,2055,2077,1396,2607,308,366,18,278,59,19,32,20,3,0
111167,41324,2054,2006,1432,2596,256,419,20,298,57,17,32,20,2,0
111126,41434,1993,1988,1440,2578,271,449,28,277,50,7,31,21,7,0
111195,41237,2046,2051,1432,2649,284,401,18,269,48,18,25,22,5,0
111149,41369,2039,2013,1413,2592,280,410,15,290,53,15,31,25,6,0
111131,41416,2003,1997,1424,2596,282,436,20,277,46,12,27,25,7,1
111187,41256,2079,2031,1410,2650,269,372,23,305,46,13,26,29,4,0
111160,41335,2065,2045,1403,2583,281,368,26,293,68,17,25,28,3,0
111143,41379,2019,2022,1421,2602,279,413,24,268,52,21,26,26,5,0
111086,41525,1985,1951,1477,2548,236,477,19,246,56,12,33,37,12,0
111184,41277,2056,2037,1439,2595,265,411,21,283,66,20,28,16,2,0
111278,41011,2138,2108,1451,2664,268,350,13,288,73,16,23,17,2,0
111138,41405,1983,1997,1450,2585,280,464,20,260,49,11,32,20,6,0
111202,41233,2058,2005,1427,2661,266,423,16,311,37,13,28,18,2,0
111123,41454,2001,2012,1383,2564,311,421,16,290,52,19,30,20,4,0
111144,41371,2047,2057,1380,2597,304,358,22,285,52,16,36,25,6,0
111171,41309,2059,2042,1398,2606,283,386,22,304,56,19,27,12,6,0
111187,41256,2064,2050,1429,2629,272,383,22,278,53,16,35,24,2,0
111176,41292,2045,2030,1412,2637,288,402,15,286,47,18,20,26,5,1
