1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7321026,541463,9447,18634,4359,8733,321,1255,24,822,62,23,28,60,3,1
7321105,541265,9513,18684,4315,8784,354,1205,11,875,56,17,31,43,3,0
7320857,541963,9303,18420,4366,8600,284,1428,23,851,40,15,44,63,4,0
7321096,541263,9482,18685,4407,8776,317,1247,14,796,69,18,28,56,6,1
7320984,541582,9397,18550,4424,8698,282,1340,20,798,59,13,34,75,5,0
7321051,541411,9431,18647,4367,8737,339,1269,28,823,65,16,22,52,3,0
7321164,541074,9561,18741,4369,8841,328,1169,14,837,63,16,31,49,3,1
7320952,541704,9388,18538,4361,8609,315,1343,18,848,79,18,27,59,1,1
7320961,541654,9381,18596,4349,8664,350,1296,16,804,63,18,34,71,3,1
7321046,541424,9447,18641,4388,8698,322,1278,17,811,81,21,27,58,2,0
7320952,541668,9424,18584,4323,8670,322,1260,25,842,63,22,30,69,7,0
7320935,541734,9399,18517,4353,8635,299,1327,22,864,62,9,34,63,8,0
7321138,541151,9563,18725,4359,8791,318,1166,23,858,76,13,30,45,5,0
7321062,541351,9480,18685,4365,8761,338,1207,20,807,66,13,30,70,5,1
7320955,541675,9413,18541,4346,8662,305,1302,27,859,66,15,19,69,7,0
7320988,541579,9458,18646,4294,8657,363,1206,20,852,78,16,33,67,4,0
7320951,541691,9382,18566,4348,8644,331,1311,25,837,63,11,37,59,5,0
7321041,541417,9467,18658,4361,8737,329,1226,22,819,63,13,39,65,4,0
7320998,541559,9387,18572,4393,8704,320,1330,19,802,64,19,15,76,3,0
7320945,541710,9424,18540,4306,8651,325,1278,21,883,59,12,33,71,3,0
7321043,541434,9474,18613,4354,8718,315,1258,21,867,67,10,28,54,5,0
7321026,541455,9479,18634,4370,8717,297,1232,28,828,71,19,36,66,3,0
7321058,541387,9485,18624,4369,8736,301,1257,19,853,63,17,39,52,1,0
7320913,541791,9382,18520,4342,8623,314,1314,26,847,66,11,27,79,6,0
7321102,541257,9507,18693,4377,8760,328,1216,16,824,77,16,26,58,4,0
7321071,541328,9497,18663,4387,8765,299,1219,28,821,65,14,38,64,2,0
7321038,541438,9436,18636,4382,8725,320,1280,19,808,65,23,33,55,3,0
7321092,541271,9509,18714,4341,8789,337,1182,25,828,65,25,26,53,3,1
7321052,541391,9444,18626,4413,8752,294,1282,31,809,62,13,30,58,4,0
7321107,541242,9543,18691,4323,8796,330,1174,19,877,56,14,38,48,3,0
7320985,541596,9466,18579,4291,8687,329,1242,17,893,59,19,31,64,3,0
7320890,541849,9326,18496,4405,8599,285,1391,28,804,66,14,34,63,11,0
7320916,541797,9342,18513,4367,8612,323,1362,21,823,66,13,29,74,3,0
7321149,541105,9552,18736,4379,8846,313,1168,21,819,59,21,36,55,2,0
7321077,541338,9475,18640,4358,8770,322,1255,22,855,59,17,20,48,5,0
7321030,541468,9462,18645,4317,8714,348,1225,25,856,67,17,27,58,2,0
7320961,541657,9385,18509,4405,8682,271,1365,25,831,56,17,26,65,6,0
7320961,541647,9420,18577,4334,8683,316,1272,25,836,60,25,30,72,3,0
7321028,541467,9430,18583,4412,8727,296,1308,20,817,59,7,34,70,3,0
7321101,541257,9537,18712,4306,8788,355,1154,18,867,61,14,32,55,4,0
7321106,541239,9471,18704,4387,8803,347,1227,18,792,63,15,19,64,6,0
7321115,541224,9474,18670,4427,8786,311,1273,16,801,68,13,24,54,5,0
7321173,541061,9582,18741,4348,8831,333,1148,18,864,71,14,24,52,1,0
7321090,541279,9509,18657,4369,8805,307,1224,16,839,54,19,26,60,7,0
7321012,541524,9433,18539,4384,8721,275,1332,23,864,52,18,29,52,3,0
7321023,541497,9420,18613,4348,8711,346,1280,23,840,64,13,20,60,3,0
7321079,541315,9490,18689,4354,8770,342,1203,19,819,65,17,30,67,2,0
7320977,541622,9411,18563,4350,8668,320,1309,17,847,64,18,29,62,4,0
7321156,541096,9580,18710,4342,8862,313,1158,19,876,53,17,23,50,6,0
7321038,541439,9458,18614,4388,8717,305,1277,15,823,68,17,35,65,2,0
7321163,541079,9567,18717,4401,8820,298,1192,15,837,72,14,32,50,4,0
7321001,541543,9452,18606,4327,8699,325,1252,22,856,65,21,26,61,5,0
7320796,542130,9297,18428,4322,8507,310,1390,25,853,63,15,46,75,4,0
7320954,541682,9386,18560,4342,8661,331,1314,18,838,56,16,37,61,5,0
7321015,541517,9442,18565,4378,8697,299,1303,19,855,63,9,34,64,1,0
7320972,541630,9383,18588,4354,8675,334,1305,26,821,58,17,38,58,2,0
7320939,541704,9411,18537,4332,8691,311,1287,19,849,43,14,40,79,4,1
7321191,540990,9585,18808,4366,8844,341,1123,19,821,74,18,36,40,5,0
7321080,541309,9465,18678,4413,8756,321,1248,20,787,72,11,31,65,5,0
7321042,541415,9494,18631,4358,8738,304,1230,19,845,66,18,30,65,6,0
7320901,541816,9331,18520,4388,8627,316,1355,21,781,62,16,32,91,4,0
7321014,541500,9459,18620,4336,8718,326,1249,15,845,59,20,34,59,7,0
7321163,541053,9614,18777,4346,8842,320,1098,18,845,70,17,36,54,8,0
7320952,541675,9413,18580,4309,8679,329,1265,30,854,57,23,27,62,6,0
7320984,541590,9349,18581,4435,8675,316,1364,23,771,67,8,28,60,10,0
7321250,540816,9576,18850,4437,8909,334,1145,15,758,69,19,38,41,4,0
7320960,541668,9391,18560,4371,8635,325,1316,19,825,73,8,33,74,3,0
7320996,541557,9431,18618,4351,8671,323,1277,20,828,75,27,29,52,6,0
7320929,541753,9286,18500,4443,8658,296,1437,25,764,52,19,28,67,4,0
7321078,541304,9548,18702,4334,8754,324,1148,24,848,80,16,25,70,6,0
7321025,541473,9492,18638,4332,8690,319,1219,21,858,78,20,33,60,3,0
7320893,541847,9341,18507,4351,8615,310,1361,25,835,56,19,36,58,5,2
7321013,541523,9457,18607,4326,8683,331,1262,16,873,65,14,39,48,4,0
7321044,541431,9481,18623,4331,8727,330,1236,21,873,67,12,20,60,5,0
7321021,541474,9489,18674,4344,8666,331,1201,19,824,89,19,42,65,3,0
7320927,541757,9397,18499,4371,8616,278,1355,16,856,68,19,34,60,8,0
7321131,541176,9509,18673,4412,8811,296,1248,21,830,63,14,25,47,5,0
7320990,541560,9472,18564,4337,8723,288,1254,24,875,53,16,28,69,8,0
7320929,541757,9407,18509,4316,8643,301,1318,22,887,55,22,33,58,4,0
7320990,541580,9453,18575,4339,8669,304,1280,21,876,70,17,28,51,8,0
7321118,541212,9577,18686,4316,8797,319,1162,12,894,63,19,30,52,4,0
7321031,541472,9470,18622,4306,8721,339,1239,20,884,57,17,33,47,3,0
7320965,541655,9361,18566,4413,8625,314,1359,20,789,81,16,29,64,4,0
7321107,541225,9468,18713,4422,8801,328,1232,21,761,65,16,32,67,3,0
7321045,541411,9486,18657,4354,8719,317,1228,20,841,68,17,44,49,5,0
7321129,541168,9536,18723,4360,8822,325,1177,22,834,61,19,30,50,5,0
7321047,541406,9459,18609,4404,8745,290,1290,15,822,59,16,35,57,7,0
7321034,541446,9458,18592,4391,8738,290,1278,25,835,62,13,26,70,3,0
7320890,541841,9360,18521,4380,8591,307,1335,18,801,73,10,38,87,9,0
7321055,541388,9448,18602,4411,8768,291,1292,23,815,55,15,28,69,1,0
7321127,541184,9531,18699,4356,8824,325,1187,22,844,58,18,27,59,0,0
7321039,541430,9434,18633,4361,8766,343,1259,17,813,51,14,23,72,6,0
7321065,541378,9467,18655,4340,8736,348,1242,18,852,64,13,31,50,2,0
7321055,541378,9504,18650,4387,8712,296,1234,16,832,79,13,40,58,7,0
7321207,540930,9625,18796,4339,8926,327,1083,22,849,51,20,27,53,6,0
7321170,541051,9586,18759,4340,8862,330,1126,23,858,57,15,34,46,4,0
7321206,540960,9590,18785,4354,8877,349,1127,14,844,60,11,34,48,2,0
7320918,541780,9348,18511,4393,8622,295,1362,31,813,66,13,33,74,2,0
7321126,541184,9522,18710,4356,8823,334,1197,14,833,56,22,30,51,2,1
7320905,541834,9355,18515,4337,8582,320,1348,29,856,73,17,30,57,3,0
7321036,541445,9448,18624,4351,8744,327,1268,16,834,58,25,22,57,6,0
7320998,541550,9441,18619,4334,8687,331,1253,24,844,67,18,33,57,5,0
7321045,541418,9448,18618,4378,8753,309,1277,22,833,50,14,41,52,3,0
7320812,542076,9372,18437,4269,8539,299,1322,26,906,63,23,34,78,4,1
7321142,541153,9578,18705,4313,8815,335,1148,20,901,63,10,25,51,2,0
7321080,541310,9539,18689,4302,8779,333,1157,26,879,62,19,27,54,5,0
7321003,541546,9477,18609,4315,8664,325,1238,18,878,76,18,34,57,3,0
7321139,541142,9517,18716,4408,8819,309,1212,25,808,67,16,28,51,4,0
7320989,541590,9453,18603,4291,8670,345,1243,19,885,64,17,36,53,3,0
