undir_pair,dir_spair,dir_ppair,undir_conn,dir_sconn,dir_pconn,dir_uni_sconn,dir_uni_pconn,dir_bi_sconn,dir_bi_pconn,undir_perc,dir_sperc,dir_pperc
1849.92,4512.3,4517.52,178.76,464.47,464.37,449.38,448.97,15.09,15.4,0.0968592190207576,0.1030243544692822,0.10287232310395292
2162.38,1355.9,1351.46,225.84,148.67,148.57,143.7,143.98,4.97,4.59,0.1044855360208599,0.10949068217334361,0.10975292143579207
1317.83,212.15,211.15,145.49,24.65,24.96,23.85,24.12,0.8,0.84,0.11019366107813014,0.11565321426296171,0.1169729797733405
544.4,22.9,22.84,63.02,2.81,2.7,2.72,2.59,0.09,0.11,0.11535256940589798,0.1205572109906419,0.1179699684535333
173.75,1.68,1.83,20.39,0.22,0.2,0.22,0.19,0.0,0.01,0.11543228205953039,0.08649999999999998,0.0885
44.59,0.07,0.2,5.59,0.0,0.02,0.0,0.02,0.0,0.0,0.1227404714305703,0.0,0.02
10.02,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.11690720419071807,0.0,0.0
1.75,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.1526904761904762,0.0,0.0
0.28,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0
0.08,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
