1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7316499,549723,4840,19254,4545,9532,171,683,1,859,79,13,19,38,5,0
7315692,551425,4089,19152,4500,9451,160,716,4,914,79,10,19,48,2,0
7316425,549958,4820,19158,4478,9458,169,708,7,943,73,7,22,34,1,0
7320200,542906,8576,18807,4386,8955,316,1102,11,854,61,10,23,49,5,0
7318541,546089,7010,18886,4357,9084,248,931,9,942,70,17,24,51,2,0
7318551,546065,6938,18870,4438,9103,234,1020,12,883,62,15,25,43,2,0
7321148,541118,9548,18785,4335,8811,363,1138,16,819,73,26,31,47,3,0
7317078,548718,5445,19105,4484,9398,189,788,7,919,71,8,14,34,3,0
7318056,546867,6440,19078,4401,9277,251,813,12,938,76,14,16,21,1,0
7317370,548190,5746,19085,4469,9326,215,807,8,895,75,7,23,45,0,0
7316426,549953,4787,19169,4494,9473,190,721,4,903,72,8,12,48,1,0
7316755,549327,5160,19169,4421,9436,209,691,5,951,71,16,17,32,1,0
7319587,544029,7994,18896,4370,9055,294,985,12,896,59,8,34,37,5,0
7317490,547847,5851,19182,4482,9420,206,731,5,905,81,10,20,31,0,0
7319443,544460,7911,18788,4311,8880,311,1046,12,923,83,18,22,52,1,0
7316682,549527,5078,19086,4479,9377,176,791,5,913,69,14,23,38,2,1
7317820,547196,6171,19200,4468,9427,231,724,9,869,71,16,21,37,1,0
7320512,542322,8874,18795,4419,8877,313,1152,18,813,75,12,33,43,3,0
7318948,545246,7311,18878,4460,9135,230,1027,9,879,61,13,19,44,1,0
7318361,546281,6768,19061,4416,9239,242,827,9,889,81,26,19,42,0,0
7317677,547605,5994,19030,4536,9333,202,914,9,817,57,13,16,53,5,0
7316160,550395,4584,19257,4449,9541,172,585,6,973,81,7,15,32,4,0
7318995,545091,7353,19011,4417,9186,294,905,11,848,61,9,29,50,1,0
7319372,544660,7879,18672,4292,8869,269,1103,20,980,55,13,27,45,5,0
7319415,544200,7814,19031,4387,9243,269,845,10,915,60,11,19,37,5,0
7315783,551180,4179,19216,4503,9483,148,666,4,957,91,4,26,19,2,0
7317996,547008,6370,19046,4466,9250,231,865,12,853,75,16,23,48,2,0
7321000,541561,9424,18567,4355,8694,324,1298,16,847,63,14,23,74,1,0
7320211,542852,8651,18835,4349,8985,294,1022,17,882,61,20,25,52,5,0
7318064,546820,6458,19073,4470,9288,207,820,8,890,84,14,20,44,1,0
7318062,546832,6430,19071,4464,9300,226,834,9,887,74,10,20,41,1,0
7320120,543115,8573,18765,4357,8880,294,1096,13,874,62,12,45,48,7,0
7317766,547375,6172,19098,4434,9348,210,767,4,948,78,10,14,35,2,0
7317276,548463,5680,18993,4482,9216,186,889,12,902,82,7,34,39,0,0
7318069,546808,6435,19118,4440,9301,255,802,5,876,75,14,26,35,2,0
7317554,547979,5972,18910,4450,9181,194,945,9,915,62,10,34,45,1,0
7317363,548208,5807,19067,4406,9333,199,761,7,964,69,15,23,38,1,0
7318569,546018,6941,18884,4436,9121,242,1016,12,885,59,14,24,38,2,0
7317752,547407,6157,19136,4395,9353,249,730,6,935,70,12,22,36,1,0
7319536,544482,8065,18531,4318,8705,263,1236,25,913,61,17,25,77,7,0
7318885,545413,7333,18878,4405,9044,237,973,13,904,83,15,24,52,2,0
7317401,548112,5789,19091,4429,9365,220,776,6,942,68,10,14,38,0,0
7318442,546363,6814,18751,4509,9031,200,1147,18,827,58,9,22,66,3,1
7319486,544312,7939,18805,4364,8966,268,1043,13,890,68,24,26,54,3,0
7319969,543235,8386,18937,4377,9065,292,950,10,873,72,18,27,46,4,0
7319377,544628,7814,18677,4402,8883,256,1171,15,869,61,12,21,68,7,0
7317802,547260,6125,19172,4504,9381,220,790,10,853,80,17,21,25,1,0
7318931,545288,7316,18916,4421,9106,261,976,16,885,68,7,25,43,2,0
7317082,548702,5532,19120,4397,9408,197,691,4,993,67,8,21,37,2,0
7321098,541254,9508,18694,4382,8782,308,1222,18,817,69,27,27,47,8,0
7317497,548145,5944,18887,4431,9092,199,963,12,926,79,11,34,37,4,0
7319875,543518,8295,18811,4388,8987,270,1059,14,889,63,13,29,47,3,0
7319457,544405,7870,18770,4393,8936,283,1102,14,865,66,11,25,61,3,0
7316176,550353,4540,19257,4505,9562,161,642,7,928,73,10,23,23,1,0
7318820,545606,7246,18815,4389,9019,260,1038,12,900,64,12,22,54,4,0
7316002,550844,4442,19124,4458,9410,160,711,7,940,77,16,23,45,2,0
7317504,547824,5829,19184,4486,9421,220,754,9,910,82,6,12,20,0,0
