1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
110388,42643,1228,2142,1512,2868,186,290,4,331,57,11,22,17,1,0
110792,41993,1664,2066,1439,2682,247,363,9,324,63,17,25,14,2,0
111079,41506,1936,2029,1421,2589,295,417,16,287,62,13,26,23,1,0
110328,42718,1212,2154,1516,2908,147,235,6,353,63,14,18,28,0,0
110352,42743,1194,2121,1544,2808,170,324,11,307,72,10,25,19,0,0
110747,42019,1649,2110,1438,2748,223,290,12,339,61,16,27,17,4,0
110171,42925,993,2274,1570,2986,149,181,7,327,82,8,15,12,0,0
110350,42671,1204,2205,1507,2882,183,229,4,344,80,16,12,12,1,0
110539,42371,1385,2157,1515,2794,196,301,12,304,74,15,27,8,2,0
111176,41293,2029,2015,1444,2639,271,422,23,269,47,15,22,33,2,0
110167,42948,995,2266,1534,2983,166,176,4,356,78,9,11,7,0,0
110934,41659,1786,2129,1439,2742,260,319,13,309,54,16,30,7,3,0
111015,41517,1832,2090,1481,2729,255,379,15,283,55,10,19,17,3,0
110832,41864,1697,2100,1482,2716,222,344,14,305,68,12,27,12,5,0
110858,41860,1716,2076,1460,2696,249,372,15,271,48,18,38,19,4,0
109950,43312,752,2262,1604,3082,105,186,5,352,65,5,14,6,0,0
110536,42385,1367,2142,1496,2823,221,304,6,309,56,8,27,19,1,0
110529,42387,1396,2117,1512,2836,175,301,10,315,58,16,19,25,4,0
111054,41471,1930,2067,1421,2709,261,354,14,308,46,19,18,20,8,0
110748,42094,1640,2021,1460,2688,222,378,15,306,51,11,27,34,5,0
110809,41937,1687,2109,1411,2709,265,313,14,332,58,15,29,9,3,0
111078,41491,1934,2040,1437,2608,280,418,21,272,58,16,26,15,5,1
110089,43164,961,2186,1546,2903,129,230,5,363,84,11,17,10,2,0
110647,42150,1469,2145,1516,2832,212,311,7,300,61,9,18,21,2,0
110272,42809,1096,2193,1547,2921,168,252,5,328,67,6,20,16,0,0
110509,42464,1375,2108,1478,2791,205,310,7,337,62,13,21,18,2,0
110645,42155,1510,2183,1452,2812,237,248,5,334,69,15,20,13,1,1
110799,41942,1702,2083,1445,2730,219,320,14,311,56,24,26,25,4,0
110141,43092,1006,2181,1537,2873,151,244,9,335,81,13,20,16,1,0
110798,41874,1655,2152,1474,2795,224,291,10,305,60,19,27,14,2,0
110270,42811,1077,2237,1529,2918,198,235,9,310,68,10,21,5,2,0
110812,41842,1701,2131,1461,2796,202,273,13,354,64,14,23,13,1,0
110587,42307,1444,2123,1504,2779,206,320,7,293,59,12,37,19,3,0
110679,42138,1522,2105,1481,2793,220,335,9,309,51,16,22,17,3,0
110582,42323,1457,2096,1470,2808,203,309,10,328,49,16,21,24,4,0
110923,41683,1801,2121,1436,2733,252,305,10,307,59,19,28,21,2,0
110954,41684,1829,2086,1426,2659,272,345,16,299,60,13,37,20,0,0
110050,43193,885,2218,1563,2983,131,212,5,352,72,9,14,13,0,0
110557,42318,1400,2162,1487,2852,207,281,8,320,55,18,23,9,3,0
110861,41930,1733,2004,1466,2606,251,439,17,261,52,10,35,24,11,0
111046,41512,1893,2050,1451,2662,266,398,15,295,56,10,25,19,1,1
111049,41506,1930,2056,1429,2643,256,369,18,325,66,13,25,13,2,0
110629,42192,1464,2135,1509,2834,205,315,5,300,52,13,26,17,4,0
110085,43168,949,2187,1530,2943,138,223,6,356,66,16,18,14,1,0
110504,42391,1305,2170,1541,2890,194,298,9,295,57,10,18,17,1,0
110648,42148,1523,2162,1478,2800,204,265,7,338,76,17,21,12,1,0
110422,42528,1250,2189,1562,2889,170,267,9,287,70,9,21,25,2,0
110982,41516,1818,2202,1451,2767,275,271,14,278,70,20,21,13,2,0
111019,41505,1867,2083,1460,2736,241,352,19,315,54,11,20,17,1,0
110246,42867,1087,2212,1546,2890,170,239,9,307,76,10,24,15,1,1
110126,43054,964,2230,1564,2947,143,214,4,334,78,8,22,11,1,0
110788,41986,1682,2060,1460,2694,216,352,14,313,63,19,28,23,2,0
110436,42593,1307,2111,1479,2809,194,298,7,358,62,9,21,13,3,0
110669,42177,1526,2061,1490,2769,199,357,11,335,55,9,21,20,1,0
110837,41852,1661,2123,1457,2762,266,331,20,291,49,8,23,17,3,0
111282,41068,2150,2057,1448,2604,273,401,19,266,59,12,41,15,5,0
110763,41976,1627,2121,1457,2775,230,306,14,315,55,17,25,17,2,0
111292,41131,2189,2019,1356,2541,327,404,19,298,50,16,36,16,6,0
111268,41125,2117,2063,1381,2614,326,392,20,284,47,20,29,12,2,0
110465,42490,1328,2183,1513,2817,195,257,10,303,80,13,22,21,3,0
110627,42188,1476,2182,1478,2829,227,264,13,298,58,15,26,14,5,0
110759,42062,1659,2047,1469,2663,214,368,16,302,67,16,30,24,3,1
110617,42223,1446,2119,1531,2826,199,328,10,285,54,6,24,29,3,0
111028,41473,1868,2118,1452,2750,255,335,16,295,53,20,22,14,1,0
109822,43584,657,2256,1591,3051,103,171,4,348,73,9,14,16,1,0
110319,42746,1172,2180,1533,2872,171,255,6,324,69,6,29,15,3,0
110540,42358,1389,2165,1519,2810,199,284,13,296,68,7,33,16,3,0
110843,41824,1710,2122,1471,2749,227,313,17,296,62,17,27,20,2,0
110854,41808,1707,2132,1450,2744,257,312,9,309,63,13,23,16,3,0
110317,42757,1158,2186,1498,2892,197,248,8,336,61,10,16,11,5,0
110784,41917,1616,2102,1511,2800,209,348,10,294,52,11,21,21,4,0
110306,42780,1145,2163,1538,2889,170,272,10,309,60,10,24,23,1,0
110897,41750,1795,2124,1432,2695,250,297,15,303,66,18,37,19,2,0
110727,42005,1576,2153,1466,2820,223,279,16,333,56,12,25,9,0,0
