1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
160326,52049,1289,2476,1637,3181,155,251,4,350,58,8,13,16,2,0
160648,51489,1634,2448,1604,3073,192,280,7,319,63,13,19,24,2,0
160381,51990,1380,2485,1598,3074,180,237,10,361,85,10,13,9,2,0
161037,50840,2018,2399,1558,2929,252,358,16,285,63,19,21,15,5,0
161024,50897,2037,2353,1516,2908,255,356,11,347,58,11,24,16,2,0
160948,51011,1959,2353,1549,2958,226,353,7,337,54,12,20,24,4,0
160789,51182,1723,2454,1623,3142,188,305,14,310,41,15,18,10,1,0
160592,51639,1592,2390,1634,3028,150,335,19,311,63,16,25,18,3,0
160593,51567,1564,2484,1593,3109,201,252,5,340,63,12,19,13,0,0
160461,51931,1475,2375,1591,3007,183,325,9,330,60,12,25,29,2,0
160913,51114,1943,2339,1541,2900,226,358,13,339,67,13,22,26,1,0
161468,50093,2450,2340,1478,2828,327,399,22,310,53,8,19,17,3,0
161018,50884,2032,2358,1554,2943,227,351,20,305,52,14,24,29,4,0
160321,52077,1302,2459,1630,3140,148,257,3,379,68,4,18,9,0,0
160819,51291,1835,2379,1514,2919,255,331,14,343,60,11,28,13,3,0
160665,51539,1661,2407,1562,2980,220,323,16,330,65,14,18,9,6,0
161064,50857,2089,2304,1533,2874,240,394,19,320,51,10,29,28,3,0
160688,51487,1673,2448,1541,2971,258,288,13,329,76,10,16,16,1,0
160635,51636,1659,2376,1560,2910,217,335,10,335,84,15,19,24,0,0
160839,51235,1817,2384,1552,2943,252,355,14,312,59,10,23,18,2,0
160487,51775,1448,2460,1637,3110,170,282,10,324,70,12,10,20,0,0
160032,52616,994,2504,1649,3180,145,230,7,349,75,11,9,14,0,0
160923,51070,1920,2352,1564,2957,225,366,17,305,48,13,25,27,3,0
160452,51869,1400,2459,1629,3093,195,297,9,301,61,9,19,20,2,0
160907,51218,1965,2260,1544,2781,217,430,20,328,77,13,23,27,5,0
160855,51188,1840,2409,1532,2962,264,325,8,314,56,15,27,20,0,0
160369,52016,1331,2466,1654,3079,168,295,4,310,75,8,25,12,3,0
160822,51187,1816,2460,1549,3010,242,272,7,330,68,13,22,15,2,0
160733,51418,1734,2324,1619,2989,171,396,10,307,48,11,21,24,9,1
161048,50990,2111,2207,1534,2745,230,477,18,313,63,11,24,34,10,0
160577,51706,1544,2397,1606,2988,203,357,12,308,66,14,24,12,1,0
160676,51506,1691,2450,1537,2967,241,277,9,329,73,17,29,11,1,1
160858,51167,1855,2394,1571,2967,222,335,14,307,59,14,30,21,1,0
160952,50998,1939,2387,1551,2961,247,343,11,307,54,14,26,25,0,0
160894,51076,1878,2407,1581,2979,217,328,19,319,71,13,14,19,0,0
160889,51075,1893,2451,1530,2999,254,275,9,319,59,16,24,17,5,0
160859,51174,1810,2383,1589,2977,231,380,16,290,54,15,20,15,2,0
160628,51552,1602,2455,1592,3041,214,289,11,311,69,14,16,19,2,0
160595,51653,1603,2385,1591,3007,181,324,9,349,65,11,24,17,1,0
160060,52538,1004,2510,1664,3215,138,233,7,352,66,6,14,8,0,0
160913,51107,1904,2334,1600,2904,211,403,17,294,67,9,23,26,3,0
160383,52052,1374,2383,1642,3045,163,335,7,298,61,9,20,39,4,0
160873,51139,1863,2404,1551,2964,246,322,11,323,65,10,20,24,0,0
160813,51303,1798,2332,1588,2928,214,405,13,303,58,13,22,21,4,0
160848,51212,1820,2358,1572,2959,232,382,10,319,54,9,20,16,4,0
161254,50500,2277,2341,1519,2809,271,389,21,294,69,17,32,20,2,0
161167,50672,2176,2332,1533,2802,273,406,14,308,76,7,27,18,4,0
160978,51021,1982,2284,1556,2894,220,428,17,327,51,14,18,21,4,0
160149,52375,1127,2538,1637,3151,159,199,5,357,89,6,13,8,2,0
161322,50401,2346,2313,1496,2784,294,410,18,295,65,17,24,27,2,1
160907,51124,1890,2359,1575,2901,244,385,17,288,66,8,22,26,2,1
161058,50800,2006,2411,1547,2938,280,362,15,293,59,13,22,10,1,0
160365,52037,1328,2436,1636,3092,167,307,4,335,67,10,16,13,2,0
160272,52201,1266,2443,1627,3116,149,266,7,354,66,9,19,19,1,0
160756,51371,1761,2372,1573,2971,212,344,8,326,60,11,23,23,4,0
160955,51072,1979,2313,1540,2868,237,396,18,310,55,13,30,24,5,0
160514,51792,1480,2417,1585,3066,209,310,12,333,50,8,20,18,1,0
161117,50690,2127,2375,1550,2927,243,348,20,294,55,12,25,25,7,0
161458,50102,2458,2315,1526,2830,282,419,18,279,56,15,22,32,3,0
160499,51835,1516,2367,1587,3040,166,314,12,367,61,12,12,27,0,0
160651,51493,1614,2460,1597,3057,220,289,4,319,65,6,20,17,3,0
161076,50745,2044,2383,1586,2945,241,370,8,301,64,5,23,22,2,0
160913,51011,1916,2430,1577,3002,216,295,8,323,61,7,37,18,1,0
160497,51826,1515,2443,1547,3039,211,262,10,346,61,18,21,14,5,0
161063,50863,2080,2323,1525,2860,261,386,18,308,60,12,21,32,3,0
160831,51162,1830,2433,1571,3023,212,290,6,339,65,13,23,16,1,0
160919,51087,1937,2351,1528,2947,236,347,16,341,48,10,23,19,6,0
161032,50870,2025,2348,1547,2928,241,377,12,324,54,13,24,19,1,0
161031,50864,2036,2400,1520,2911,269,339,7,312,65,20,22,13,6,0
161422,50211,2409,2321,1507,2780,318,436,16,266,58,13,30,24,4,0
160494,51845,1491,2422,1558,3038,218,288,7,337,58,15,19,24,1,0
161016,50908,2005,2359,1554,2911,250,380,11,295,60,17,22,25,2,0
160520,51776,1489,2436,1621,3012,199,318,9,313,78,6,20,15,3,0
160809,51212,1770,2458,1592,3017,235,309,10,279,63,15,25,18,3,0
160438,51915,1411,2426,1629,3058,175,315,7,329,70,8,15,14,5,0
160814,51215,1783,2442,1570,3005,235,309,13,318,67,14,18,11,1,0
160723,51466,1715,2353,1589,2932,214,386,7,304,62,12,28,19,5,0
160165,52311,1127,2552,1661,3207,146,197,6,327,76,11,13,12,4,0
160718,51388,1685,2422,1609,3033,200,324,15,310,63,11,18,17,2,0
161091,50783,2081,2334,1557,2886,248,407,15,292,58,15,21,22,5,0
160155,52346,1118,2512,1654,3218,142,214,7,350,65,4,9,17,4,0
160551,51678,1547,2447,1620,3052,173,287,3,324,78,17,16,19,3,0
160785,51280,1800,2409,1578,2988,202,314,6,322,66,17,26,17,5,0
160940,51042,1950,2377,1525,2925,244,343,12,341,62,18,25,10,1,0
160840,51217,1823,2384,1570,2966,240,349,12,292,54,10,25,30,3,0
160989,50901,1964,2389,1557,2997,240,340,10,327,49,9,23,20,0,0
160225,52337,1237,2407,1601,3081,151,284,11,370,62,12,20,16,1,0
160570,51718,1539,2379,1628,2994,187,369,13,295,66,13,19,23,2,0
160277,52194,1274,2466,1620,3082,162,259,2,355,81,11,19,11,2,0
160415,51970,1422,2440,1601,3035,183,280,8,332,72,10,26,17,4,0
159897,52819,868,2540,1631,3275,133,167,2,396,60,6,15,6,0,0
161565,49897,2551,2328,1512,2819,296,426,21,284,54,18,27,15,2,0
161029,50871,2023,2375,1537,2926,258,355,13,311,57,13,23,21,3,0
161019,50893,1995,2401,1543,2915,271,358,18,281,60,17,25,15,4,0
161082,50895,2134,2269,1502,2778,254,423,27,320,58,14,33,21,5,0
160210,52280,1188,2474,1669,3149,125,257,9,336,72,9,21,15,1,0
160793,51271,1747,2402,1606,3003,214,357,15,301,57,9,26,13,1,0
160568,51728,1579,2391,1576,2976,204,321,8,335,71,12,21,23,2,0
161013,50931,2007,2355,1542,2875,258,383,11,317,69,12,24,17,1,0
161091,50698,2057,2418,1565,2971,257,337,8,294,61,13,22,23,0,0
160558,51759,1574,2396,1553,2967,217,312,9,346,66,11,30,16,1,0
160768,51264,1725,2436,1617,3044,200,320,4,331,71,7,16,11,1,0
160529,51746,1511,2393,1638,3054,154,334,11,332,64,10,20,18,1,0
160822,51274,1813,2363,1580,2923,226,378,11,296,65,14,24,22,4,0
161233,50562,2248,2307,1527,2801,264,429,19,293,64,19,27,17,5,0
160767,51341,1753,2394,1580,2977,217,342,13,308,64,17,20,21,1,0
160231,52224,1208,2503,1666,3143,140,240,0,335,81,7,21,13,3,0
160155,52354,1113,2518,1661,3190,144,224,4,342,73,7,17,13,0,0
159930,52716,898,2550,1678,3298,99,168,2,380,67,6,14,8,1,0
160426,51951,1427,2462,1570,3032,208,265,5,345,74,15,24,9,2,0
160779,51306,1764,2387,1591,2993,210,341,13,318,59,6,23,22,3,0
160336,52119,1318,2413,1598,3092,175,301,6,358,53,11,21,13,1,0
160210,52291,1177,2481,1661,3128,146,262,5,338,77,5,21,12,1,0
161113,50735,2094,2375,1514,2888,294,371,9,308,60,13,21,18,1,1
161069,50768,2085,2415,1497,2935,272,298,9,352,64,13,25,12,1,0
160150,52375,1095,2500,1660,3194,146,248,2,343,69,11,10,12,0,0
160735,51347,1718,2434,1583,3037,208,298,8,335,63,12,23,14,0,0
160401,52012,1419,2419,1569,3050,193,271,9,353,61,10,20,25,3,0
160983,51001,2002,2313,1556,2873,225,400,17,322,65,11,19,22,6,0
160915,51101,1932,2339,1574,2901,211,380,14,318,69,13,23,22,2,1
160762,51440,1819,2326,1538,2859,215,358,21,341,66,7,41,19,3,0
161032,50868,2011,2376,1568,2898,250,384,9,292,67,14,29,15,2,0
160900,51053,1893,2434,1560,2988,234,299,14,325,65,9,25,13,3,0
160813,51296,1826,2369,1554,2920,226,357,12,309,61,20,33,17,2,0
160626,51575,1607,2439,1575,3012,220,296,10,346,74,7,16,10,2,0
160986,50980,1996,2317,1568,2908,218,404,14,296,54,20,22,28,3,1
160370,52022,1349,2458,1604,3097,186,266,4,347,69,10,13,19,1,0
161009,50918,2017,2379,1532,2907,260,351,13,309,57,10,30,15,8,0
160676,51505,1664,2393,1585,3007,204,337,11,316,58,17,20,19,3,0
160977,51017,1988,2348,1538,2862,260,378,12,299,63,11,34,26,2,0
160279,52182,1268,2456,1618,3125,164,254,4,352,64,7,19,22,1,0
160723,51381,1675,2463,1584,3020,237,307,11,299,67,16,22,10,0,0
160620,51581,1602,2418,1596,3035,199,312,8,331,64,10,19,18,2,0
161539,50035,2564,2269,1505,2714,299,469,31,248,57,18,31,27,9,0
160821,51189,1824,2431,1575,3006,205,296,10,333,73,19,17,15,1,0
160570,51717,1558,2421,1593,2972,213,324,11,300,74,15,27,19,1,0
160488,51782,1402,2457,1662,3107,183,327,8,302,63,6,18,10,0,0
161057,50874,2072,2362,1516,2840,278,368,21,291,66,15,29,22,4,0
160934,51046,1932,2367,1554,2943,238,359,11,316,56,11,22,20,6,0
160783,51307,1807,2397,1552,2953,218,308,7,359,75,8,23,16,2,0
160453,51962,1445,2359,1588,3012,196,345,12,329,54,9,18,32,1,0
160862,51167,1843,2424,1556,2941,254,326,14,303,69,12,29,15,0,0
160178,52290,1118,2558,1664,3195,161,209,3,328,80,7,15,8,1,0
160675,51507,1664,2399,1583,3001,211,328,14,321,59,8,22,18,5,0
160698,51446,1728,2410,1551,3006,196,285,13,368,62,13,29,8,2,0
160231,52221,1196,2485,1671,3180,127,257,2,331,63,13,26,12,0,0
161585,49923,2616,2276,1457,2766,317,437,16,296,46,23,24,27,6,0
160696,51364,1658,2481,1601,3106,200,268,6,332,63,14,15,9,2,0
160348,52073,1343,2450,1607,3087,176,267,4,336,66,13,22,22,1,0
160021,52654,1010,2470,1637,3162,132,236,3,382,75,8,11,14,0,0
160468,51832,1425,2442,1626,3103,179,300,8,334,58,6,20,12,2,0
161158,50679,2168,2330,1507,2873,275,389,15,296,46,21,29,27,2,0
160843,51313,1868,2261,1549,2866,220,425,18,337,51,4,27,30,3,0
160460,51858,1452,2437,1594,3083,180,273,9,367,65,6,16,13,2,0
160552,51680,1527,2455,1611,3063,196,282,8,322,70,8,19,21,1,0
160700,51434,1678,2430,1594,3016,212,311,16,308,63,9,24,17,3,0
160917,51108,1902,2377,1551,2887,256,377,11,299,72,19,23,15,1,0
160760,51371,1798,2354,1544,2960,199,330,7,373,63,15,23,17,1,0
160576,51705,1578,2407,1576,2980,209,320,8,332,71,13,22,14,4,0
161141,50822,2179,2211,1499,2764,263,476,28,318,43,9,28,27,7,0
160886,51096,1868,2431,1559,2970,246,321,8,311,68,15,20,11,5,0
160791,51266,1781,2422,1573,3009,219,302,20,318,59,9,25,20,1,0
160387,51963,1375,2489,1619,3100,170,248,4,334,75,16,23,11,1,0
160435,51915,1438,2431,1632,3044,159,294,5,325,78,13,22,22,2,0
160148,52458,1147,2454,1637,3080,145,268,11,337,78,12,24,15,1,0
161426,50192,2429,2304,1507,2810,295,429,19,281,48,14,31,26,4,0
160777,51311,1742,2375,1601,3012,204,371,12,306,52,15,15,17,5,0
161726,49702,2773,2231,1466,2677,313,480,25,282,55,19,31,30,5,0
160467,51835,1426,2457,1646,3064,177,302,7,315,78,7,18,14,2,0
160858,51170,1850,2388,1579,2960,222,349,9,302,62,15,27,22,2,0
