undir_pair,dir_spair,dir_ppair,undir_conn,dir_sconn,dir_pconn,dir_uni_sconn,dir_uni_pconn,dir_bi_sconn,dir_bi_pconn,undir_perc,dir_sperc,dir_pperc
34168.99,53105.78,40098.92,510.41,1307.66,1040.92,1301.62,1028.61,6.04,12.31,0.014937919802140529,0.024623671798923517,0.02595871679969486
13650.0,1480.28,12421.74,449.57,181.62,490.74,175.43,483.26,6.19,7.48,0.0329360664263565,0.12272516748501744,0.0395072489103548
4641.75,717.05,2718.26,302.9,108.32,149.98,104.33,147.58,3.99,2.4,0.06525013417688676,0.15106402286047435,0.055167479440999194
1834.82,331.79,567.63,188.23,57.58,36.35,54.93,35.87,2.65,0.48,0.10257672962548263,0.17349887979262757,0.06404296792151049
818.55,153.33,112.34,113.3,32.02,7.55,30.55,7.43,1.47,0.12,0.13843088125848804,0.20884629548979286,0.0665358758888356
395.0,73.16,21.44,66.38,16.96,1.42,15.98,1.42,0.98,0.0,0.16798626678304493,0.23181229222972374,0.06475417258368443
199.89,36.87,3.89,39.18,9.33,0.19,8.83,0.19,0.5,0.0,0.19598661972504,0.25244378182294674,0.04321825396825397
103.34,20.01,0.66,22.57,5.56,0.05,5.21,0.05,0.35,0.0,0.21771238859317169,0.27687070841924244,0.03333333333333333
57.01,11.1,0.12,13.71,3.07,0.01,2.87,0.01,0.2,0.0,0.2393055618689871,0.27486838462535057,0.005
75.65,15.63,0.0,20.96,5.09,0.0,4.67,0.0,0.42,0.0,0.27482673075691566,0.3306073913149559,0.0
