undir_pair,dir_spair,dir_ppair,undir_conn,dir_sconn,dir_pconn,dir_uni_sconn,dir_uni_pconn,dir_bi_sconn,dir_bi_pconn,undir_perc,dir_sperc,dir_pperc
12092.33,21719.07,16053.59,301.93,874.92,711.4,867.92,698.98,7.0,12.42,0.024967489503928856,0.040283423164098754,0.04431370167847333
6555.54,1385.61,6072.42,318.67,175.91,370.67,169.34,363.22,6.57,7.45,0.048600734317682075,0.1269452465785977,0.061039373644091136
2887.21,574.96,1540.57,235.41,92.28,116.19,88.3,114.08,3.98,2.11,0.08153180505548949,0.16048606626097175,0.07538638329509886
1317.39,232.67,337.21,154.24,45.67,28.55,43.68,27.93,1.99,0.62,0.11705290050835997,0.1961962086446293,0.08451301258308783
627.81,95.75,69.72,94.39,21.54,6.13,20.14,6.09,1.4,0.04,0.15032572377081435,0.22455149156006243,0.08711803973680537
302.46,41.45,13.36,55.18,11.15,1.24,10.44,1.24,0.71,0.0,0.18223706799982434,0.2694963763951523,0.09320205811560298
149.92,19.69,2.6,31.84,5.81,0.16,5.44,0.16,0.37,0.0,0.21154841972087327,0.2962511534287442,0.055
74.83,9.69,0.48,18.46,3.18,0.02,2.95,0.02,0.23,0.0,0.24645359390488536,0.32565956265956253,0.013333333333333332
37.89,5.08,0.05,10.35,1.94,0.0,1.78,0.0,0.16,0.0,0.2719626418004495,0.3837152014652013,0.0
44.62,6.03,0.0,13.89,1.96,0.0,1.73,0.0,0.23,0.0,0.3058521715927588,0.32910714285714276,0.0
