1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1667741,231061,3954,9643,3366,6420,212,696,10,608,46,8,23,37,0,0
1667514,231537,3785,9633,3305,6370,214,661,6,684,64,10,16,25,1,0
1666947,232565,3266,9737,3292,6444,195,526,3,714,83,11,13,25,4,0
1667762,231189,4123,9557,3229,6184,245,680,20,675,77,16,22,43,3,0
1667429,231775,3750,9616,3260,6264,230,654,14,689,81,16,21,26,0,0
1667433,231760,3747,9582,3288,6292,215,673,12,685,74,6,12,44,2,0
1666905,232669,3175,9674,3374,6457,164,619,9,644,64,7,19,42,3,0
1667438,231757,3762,9585,3285,6258,210,675,10,702,85,7,19,32,0,0
1667794,231106,4133,9528,3248,6242,225,702,20,695,59,9,20,42,2,0
1666381,233600,2680,9788,3327,6570,154,472,11,723,72,10,16,21,0,0
1667455,231686,3815,9657,3226,6301,233,585,6,710,73,17,35,24,2,0
1667043,232473,3384,9644,3299,6337,193,601,8,683,81,8,24,45,2,0
1667773,230976,4049,9698,3323,6373,218,612,7,658,84,9,12,30,3,0
1668650,229628,5052,9382,3178,5948,277,840,15,684,76,17,32,40,6,0
1667619,231408,3955,9557,3293,6265,199,692,11,676,72,11,19,44,4,0
1667327,232045,3700,9567,3223,6194,237,672,11,684,78,23,24,34,5,1
1667563,231560,3900,9534,3282,6235,209,707,24,663,65,8,24,48,3,0
1667480,231616,3796,9650,3278,6337,216,621,9,676,72,19,23,32,0,0
1667357,231779,3653,9708,3311,6415,199,577,5,682,78,14,18,29,0,0
1668313,230016,4603,9619,3236,6296,278,661,8,670,59,13,15,37,1,0
1666715,232835,3000,9900,3331,6648,174,378,4,717,83,6,11,23,0,0
1668849,229250,5256,9345,3157,5965,283,848,18,698,59,14,28,51,3,1
1666931,232597,3207,9703,3370,6461,160,595,10,652,73,12,18,34,2,0
1666821,232924,3192,9604,3264,6359,171,598,9,749,66,8,26,31,3,0
1667458,231679,3813,9625,3246,6317,218,605,6,712,72,13,21,37,3,0
1667585,231315,3856,9726,3339,6413,199,586,15,657,80,8,22,24,0,0
1667867,230916,4175,9599,3236,6275,252,669,11,701,67,15,17,25,0,0
1667079,232370,3423,9691,3264,6380,206,555,6,700,73,17,29,31,1,0
1668743,229361,5046,9439,3245,6074,284,849,16,628,56,10,28,41,5,0
1667834,230988,4231,9622,3165,6245,251,588,14,742,72,23,27,19,4,0
1668570,229671,4884,9495,3221,6090,298,786,15,651,71,10,21,38,4,0
1666202,233909,2474,9822,3379,6612,140,471,4,682,75,10,17,26,2,0
1666786,232825,3077,9801,3312,6516,189,488,7,688,79,19,17,21,0,0
1667818,231046,4142,9588,3246,6212,255,682,12,675,78,12,25,33,1,0
1668388,229794,4672,9703,3259,6336,267,607,7,656,72,18,21,24,1,0
1668136,230500,4509,9493,3223,6135,255,730,13,665,66,11,28,56,5,0
1666272,233715,2579,9889,3341,6642,148,373,3,730,89,6,15,23,0,0
1667032,232321,3316,9795,3318,6535,187,490,5,707,73,8,19,18,1,0
1668512,229810,4834,9442,3275,6071,252,839,22,599,66,18,28,54,3,0
1667107,232310,3375,9664,3324,6406,205,629,6,678,69,5,14,31,2,0
1668043,230582,4381,9559,3263,6251,216,687,19,683,63,13,29,36,0,0
1667283,231990,3639,9651,3274,6334,196,581,7,711,89,14,14,42,0,0
1667283,231793,3577,9811,3313,6565,183,458,6,718,73,7,14,24,0,0
1666993,232431,3309,9767,3289,6504,187,488,6,726,71,10,23,21,0,0
1668225,230254,4506,9550,3305,6206,242,756,21,614,69,11,22,42,2,0
1668721,229413,5032,9447,3251,6050,288,845,16,600,64,14,28,51,5,0
1666522,233393,2881,9722,3294,6464,149,502,5,753,84,13,19,22,2,0
1668050,230562,4393,9602,3224,6250,257,644,13,684,69,14,21,39,3,0
1667723,231117,4003,9670,3285,6362,232,633,9,664,66,18,18,22,3,0
1668275,230124,4583,9613,3224,6237,285,668,9,670,68,13,23,31,2,0
1668884,229142,5230,9391,3202,6017,292,855,22,637,52,15,30,53,3,0
1668333,230138,4682,9459,3257,6091,246,794,14,644,70,11,32,51,3,0
1668229,230258,4550,9515,3263,6203,234,742,15,681,68,10,15,40,2,0
1667325,231871,3616,9662,3326,6398,187,622,6,676,74,14,14,33,1,0
1669503,227956,5768,9351,3262,5970,309,978,23,566,45,13,31,45,5,0
1667815,231058,4114,9547,3285,6225,231,737,11,665,66,9,31,31,0,0
1667130,232239,3428,9697,3302,6417,200,577,8,700,75,8,16,26,2,0
1668084,230638,4432,9478,3248,6096,259,780,22,617,70,16,21,55,9,0
1667414,231809,3749,9555,3268,6304,202,676,12,706,58,10,21,39,2,0
1669261,228453,5671,9390,3112,5918,331,817,26,677,68,22,28,48,3,0
1666765,232890,3080,9753,3290,6513,185,495,4,728,66,8,22,25,1,0
1667267,232043,3637,9634,3225,6338,211,570,11,756,74,9,18,31,1,0
1666491,233463,2793,9726,3352,6465,163,546,13,665,79,7,19,40,3,0
1666967,232504,3260,9747,3302,6497,195,520,10,704,64,6,23,26,0,0
1668870,229191,5227,9390,3200,5957,298,874,10,638,70,20,30,44,6,0
1667416,231792,3717,9604,3296,6298,225,673,13,644,65,10,26,44,2,0
1666319,233767,2630,9765,3342,6497,154,509,7,688,81,13,26,25,2,0
1667763,230998,4083,9706,3268,6382,225,560,8,692,75,13,21,30,1,0
1667534,231666,3892,9487,3239,6189,221,738,8,705,66,16,20,41,3,0
1667571,231538,3891,9549,3297,6234,212,723,14,638,63,15,37,42,1,0
1666889,232740,3196,9660,3303,6405,184,604,5,714,71,10,19,23,2,0
1668051,230562,4382,9594,3240,6248,251,661,15,680,67,10,26,36,2,0
1667027,232536,3396,9618,3241,6318,199,594,10,743,77,13,22,31,0,0
1666935,232602,3202,9737,3289,6473,226,553,9,690,61,7,16,22,3,0
1666877,232766,3240,9691,3252,6377,197,534,6,733,85,17,19,31,0,0
1667768,231171,4139,9510,3238,6223,224,696,10,695,59,9,24,55,4,0
1666766,232881,3094,9760,3316,6486,167,495,3,713,83,10,21,28,2,0
1666590,233186,2851,9819,3357,6548,188,490,4,649,81,11,13,37,1,0
1666959,232510,3299,9739,3326,6470,156,507,7,697,83,12,20,38,2,0
1668322,230165,4679,9445,3248,6097,234,808,14,659,61,16,34,35,8,0
1667429,231759,3794,9595,3245,6303,206,621,12,714,68,15,23,40,1,0
1667451,231695,3833,9625,3232,6307,202,586,14,728,77,20,21,33,1,0
1667771,230973,4052,9711,3304,6400,222,588,12,657,71,13,21,30,0,0
1668363,230063,4663,9468,3266,6137,264,809,15,636,60,7,21,50,3,0
1666770,232888,3066,9774,3308,6464,193,512,6,716,87,7,21,12,1,0
1668197,230337,4559,9534,3210,6180,256,699,13,693,67,15,22,38,5,0
1667374,231725,3617,9747,3329,6454,232,575,7,637,66,5,23,34,0,0
1668786,229234,5145,9474,3226,6082,261,774,17,673,72,9,29,38,5,0
1667661,231288,3949,9624,3280,6323,244,662,10,656,59,7,21,35,6,0
1668042,230593,4341,9596,3267,6221,258,699,15,648,75,12,24,32,2,0
1666984,232451,3300,9788,3276,6495,207,476,4,714,75,12,18,21,4,0
1668713,229243,5014,9613,3242,6248,277,684,8,645,57,16,34,28,3,0
