1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
161318,50421,2340,2258,1522,2784,266,458,11,308,58,13,26,28,4,0
161358,50298,2364,2345,1522,2805,284,399,22,281,68,16,31,21,1,0
161364,50283,2354,2319,1521,2848,282,422,17,290,50,16,24,21,4,0
161257,50583,2312,2219,1519,2734,245,479,18,305,59,19,34,28,4,0
161347,50325,2374,2309,1502,2830,277,406,12,310,49,14,34,21,4,1
161313,50416,2364,2296,1522,2769,259,410,20,293,67,13,40,31,2,0
161293,50483,2313,2306,1468,2779,318,407,26,300,57,12,19,28,6,0
161346,50332,2347,2330,1496,2827,305,408,13,288,55,18,19,24,7,0
161300,50465,2287,2310,1488,2793,320,435,25,280,49,13,25,19,6,0
161388,50217,2378,2338,1514,2864,289,402,14,302,51,12,22,18,6,0
161307,50435,2331,2260,1541,2793,246,463,19,289,54,17,31,24,4,1
161319,50415,2347,2269,1522,2777,261,447,18,311,64,13,24,23,5,0
161310,50448,2338,2269,1482,2784,280,433,25,331,57,17,19,20,2,0
161383,50226,2385,2329,1530,2856,258,410,21,298,56,22,24,14,3,0
161278,50510,2333,2281,1495,2761,272,424,22,300,60,18,31,23,5,2
161335,50375,2355,2289,1505,2794,282,426,14,312,59,12,29,27,1,0
161297,50464,2316,2299,1512,2773,284,428,28,281,61,13,29,25,5,0
161310,50434,2348,2276,1493,2795,273,420,24,317,57,16,20,29,2,1
161325,50399,2343,2270,1522,2795,256,452,21,308,58,20,25,19,2,0
161354,50306,2368,2357,1508,2801,303,378,18,279,70,11,29,30,3,0
161288,50502,2304,2272,1506,2760,289,456,16,285,60,19,26,29,3,0
161288,50497,2338,2242,1541,2733,232,471,22,303,78,21,19,24,6,0
161316,50418,2338,2287,1491,2811,280,427,19,307,45,20,34,20,2,0
161381,50232,2386,2338,1521,2850,274,397,16,294,56,18,29,21,2,0
161343,50353,2362,2312,1458,2826,307,397,16,334,48,17,22,16,4,0
161273,50544,2287,2264,1510,2744,282,469,25,288,60,17,29,19,4,0
161294,50463,2330,2306,1489,2795,291,405,21,284,50,17,35,29,6,0
161200,50737,2284,2249,1462,2668,286,449,19,293,69,31,39,24,5,0
161278,50536,2290,2256,1509,2744,289,470,21,300,56,6,35,21,4,0
161368,50258,2383,2329,1539,2837,253,411,20,290,61,19,26,14,6,1
161335,50374,2348,2301,1495,2798,296,421,15,310,61,13,18,25,5,0
161310,50433,2314,2268,1530,2805,266,460,22,285,48,15,30,26,3,0
161358,50298,2346,2359,1507,2824,305,392,26,276,59,15,30,19,1,0
161331,50379,2342,2312,1485,2815,294,414,20,305,49,20,31,16,2,0
161241,50633,2302,2238,1469,2723,283,448,21,319,54,17,39,26,2,0
161308,50445,2310,2320,1474,2786,321,421,19,290,55,20,25,17,3,1
161321,50392,2360,2341,1476,2792,305,379,15,295,60,17,33,21,8,0
161380,50220,2367,2345,1540,2878,271,406,21,274,47,14,26,17,9,0
161291,50478,2328,2270,1505,2788,267,440,20,296,53,21,26,26,5,1
161347,50319,2347,2263,1590,2835,212,479,23,278,50,15,34,18,5,0
161301,50449,2329,2333,1475,2781,310,395,22,285,60,20,27,20,8,0
161292,50470,2353,2284,1502,2774,265,416,12,289,59,24,37,34,4,0
161249,50602,2308,2228,1507,2727,256,466,24,313,61,12,29,24,9,0
161309,50429,2325,2263,1538,2806,252,460,21,286,49,16,31,26,3,1
161305,50460,2324,2279,1505,2758,286,444,20,306,64,11,28,22,3,0
161355,50314,2352,2305,1534,2810,269,443,17,298,61,14,25,12,6,0
161394,50205,2381,2375,1488,2854,316,372,16,299,57,16,24,16,2,0
161334,50350,2331,2316,1556,2817,268,432,22,251,57,12,33,31,5,0
161248,50613,2279,2235,1511,2724,277,476,24,290,60,12,31,32,3,0
161401,50182,2404,2377,1507,2837,291,366,22,304,70,15,24,13,2,0
161316,50425,2366,2318,1467,2754,301,391,14,320,71,18,31,20,3,0
161390,50203,2381,2334,1540,2871,270,408,14,281,53,16,23,27,4,0
161376,50257,2332,2301,1556,2861,264,468,19,277,47,20,21,14,2,0
161294,50477,2326,2315,1477,2763,305,403,24,293,62,17,32,24,3,0
161238,50622,2300,2226,1507,2743,263,458,20,297,50,8,37,37,9,0
161268,50551,2267,2238,1543,2767,265,501,21,263,48,17,34,29,3,0
161373,50259,2386,2335,1507,2833,281,395,15,304,61,19,24,20,3,0
161317,50422,2311,2291,1503,2803,297,449,15,286,50,20,25,23,3,0
161347,50332,2352,2313,1513,2818,281,422,19,297,58,17,22,19,5,0
161406,50171,2413,2363,1498,2851,295,372,10,320,60,11,28,12,5,0
161374,50250,2387,2344,1523,2829,274,392,17,292,61,15,36,19,2,0
161276,50526,2318,2270,1476,2775,289,435,14,298,53,27,22,30,6,0
161320,50404,2350,2293,1486,2811,286,417,14,315,46,14,33,19,7,0
161332,50385,2319,2301,1517,2790,292,451,20,295,59,12,25,12,5,0
161328,50381,2351,2325,1495,2787,303,405,12,296,64,11,25,22,10,0
161297,50472,2317,2246,1523,2790,261,470,16,299,48,15,30,26,5,0
161337,50355,2336,2335,1504,2810,301,410,22,283,59,15,23,18,7,0
161297,50465,2326,2293,1493,2782,285,430,19,294,57,22,24,20,8,0
161350,50319,2375,2349,1481,2813,302,377,15,301,60,19,31,19,4,0
161334,50373,2348,2299,1503,2802,285,423,19,309,57,12,26,21,4,0
161352,50325,2359,2290,1530,2811,265,438,17,302,63,16,19,26,2,0
161360,50308,2351,2338,1511,2794,302,415,17,293,68,13,28,16,1,0
161334,50359,2353,2320,1499,2816,291,402,21,300,56,11,23,22,7,1
161278,50523,2337,2247,1500,2751,261,447,15,315,62,18,26,28,7,0
161264,50567,2294,2243,1527,2728,265,477,21,282,66,17,30,32,2,0
161324,50391,2354,2301,1501,2801,278,417,15,301,55,18,32,22,5,0
161315,50419,2351,2297,1478,2803,290,408,14,313,46,16,40,22,3,0
161313,50421,2321,2303,1499,2808,293,425,24,290,51,15,23,22,7,0
161319,50420,2357,2277,1480,2791,276,416,24,334,57,17,24,23,0,0
161357,50299,2389,2346,1487,2814,298,367,16,310,61,9,34,24,4,0
161419,50131,2433,2349,1523,2863,262,377,16,325,64,12,23,14,4,0
161294,50475,2326,2297,1487,2773,292,422,20,293,62,22,20,25,7,0
161296,50466,2339,2294,1490,2779,276,408,30,308,54,13,39,20,3,0
161384,50240,2387,2335,1492,2841,286,396,19,323,58,21,22,11,0,0
161312,50429,2328,2280,1510,2796,283,440,16,296,53,12,26,28,6,0
161348,50335,2350,2300,1522,2810,273,431,25,308,60,10,22,17,4,0
161322,50406,2310,2295,1516,2804,287,450,25,286,54,17,21,18,4,0
161309,50442,2339,2302,1476,2780,298,411,19,310,56,17,33,21,2,0
161347,50344,2350,2321,1481,2811,308,408,17,314,55,14,26,17,2,0
161306,50443,2344,2280,1501,2786,263,423,30,313,58,17,27,21,3,0
161395,50200,2400,2319,1535,2852,256,411,17,314,59,13,24,17,3,0
161357,50296,2356,2312,1522,2855,278,419,14,286,44,15,30,27,4,0
161356,50307,2382,2338,1493,2804,291,384,19,311,69,15,21,20,5,0
161334,50368,2370,2301,1494,2802,281,406,13,317,55,12,35,23,4,0
161274,50549,2292,2238,1492,2762,285,474,20,312,51,16,22,24,4,0
161336,50345,2367,2336,1519,2800,267,396,25,283,66,20,32,17,6,0
161341,50335,2391,2326,1496,2811,277,375,15,303,61,16,33,31,4,0
161315,50429,2327,2276,1501,2794,282,448,17,310,50,15,30,17,4,0
161357,50291,2349,2330,1526,2854,277,415,22,277,46,17,31,18,5,0
161312,50437,2297,2306,1500,2790,310,449,16,278,50,18,33,16,3,0
161250,50587,2306,2265,1532,2711,254,452,25,268,70,17,45,29,4,0
161294,50475,2309,2285,1516,2778,284,442,20,273,55,16,34,32,2,0
161324,50372,2352,2333,1492,2827,293,395,15,284,51,20,24,20,12,1
161299,50455,2336,2322,1472,2784,309,388,21,295,54,12,36,26,6,0
161302,50461,2328,2300,1477,2776,301,415,22,305,58,17,27,23,3,0
161372,50255,2381,2343,1513,2839,277,395,20,299,58,18,28,13,3,1
161326,50397,2335,2304,1506,2784,289,436,14,295,59,18,33,16,3,0
161365,50270,2388,2336,1498,2850,283,384,13,304,50,17,31,21,4,1
161319,50409,2340,2335,1469,2791,318,388,19,295,58,17,30,24,3,0
161320,50386,2333,2327,1506,2825,292,404,23,272,50,16,27,26,7,1
161315,50408,2346,2282,1495,2835,273,415,22,307,41,15,25,29,7,0
161367,50282,2364,2333,1499,2832,293,410,15,302,57,22,22,14,3,0
161320,50395,2346,2295,1508,2817,271,425,17,296,48,18,31,20,8,0
161311,50432,2338,2274,1532,2767,262,448,19,295,68,12,24,27,6,0
161297,50466,2335,2268,1498,2792,271,432,21,309,51,15,27,27,6,0
161310,50437,2361,2285,1464,2793,285,400,22,337,55,16,22,23,5,0
161396,50189,2381,2377,1519,2859,290,379,23,280,57,18,33,14,0,0
161322,50387,2348,2286,1524,2818,269,425,17,290,53,10,23,35,7,1
161296,50472,2292,2259,1560,2769,255,490,26,273,58,9,31,18,7,0
161357,50298,2356,2345,1489,2846,309,388,19,292,53,16,16,24,7,0
161337,50353,2367,2334,1499,2796,291,384,20,292,65,14,32,29,2,0
161321,50405,2346,2291,1525,2773,268,439,14,289,67,19,30,25,3,0
161281,50522,2320,2271,1457,2774,302,430,14,325,43,16,38,17,5,0
161384,50234,2360,2344,1523,2839,295,419,15,292,60,13,19,11,7,0
161336,50338,2378,2308,1523,2834,250,399,21,290,52,19,33,28,6,0
161337,50354,2356,2352,1485,2797,312,385,13,283,64,20,29,23,5,0
161351,50323,2362,2297,1523,2818,266,435,13,301,58,20,24,20,4,0
161291,50499,2312,2263,1516,2743,274,466,18,299,63,15,35,19,2,0
161375,50259,2363,2343,1508,2835,300,406,14,297,54,12,32,14,3,0
161306,50449,2320,2299,1488,2781,304,428,19,303,55,10,27,18,8,0
161394,50208,2409,2362,1500,2817,294,373,13,314,75,15,21,17,3,0
161272,50530,2329,2280,1468,2773,287,408,25,310,52,18,30,28,4,1
161338,50354,2355,2284,1525,2820,261,438,15,297,56,20,20,27,5,0
161290,50479,2342,2287,1517,2751,263,427,18,285,68,19,36,28,5,0
161357,50307,2334,2325,1533,2820,293,434,17,270,63,16,16,26,4,0
161339,50346,2389,2312,1496,2808,266,387,19,313,61,20,31,26,2,0
161320,50414,2337,2313,1482,2782,309,411,16,302,60,14,28,24,3,0
161281,50510,2303,2289,1494,2771,299,434,19,282,52,14,34,27,6,0
161311,50435,2343,2311,1497,2754,288,420,16,295,70,21,33,18,3,0
