undir_pair,dir_spair,dir_ppair,undir_conn,dir_sconn,dir_pconn,dir_uni_sconn,dir_uni_pconn,dir_bi_sconn,dir_bi_pconn,undir_perc,dir_sperc,dir_pperc
1939.39,4637.05,3886.65,118.78,404.22,367.75,393.7,356.0,10.52,11.75,0.06126302389633625,0.08717065081227156,0.09461713604519419
1782.02,1071.63,1660.47,164.32,151.87,196.42,145.44,189.74,6.43,6.68,0.09222100509776382,0.1416821571530731,0.11831199029855995
1145.7,279.54,446.21,139.87,51.39,58.2,48.97,56.13,2.42,2.07,0.12208608435309527,0.18364898033060226,0.13044797957101242
646.92,77.91,92.93,95.72,18.69,12.51,17.67,11.99,1.02,0.52,0.1479301133827982,0.2394755907084276,0.13378959478229294
322.07,24.76,16.33,56.63,7.02,2.49,6.55,2.35,0.47,0.14,0.17565386329599808,0.28311392147905723,0.15047347975258807
150.58,8.71,2.16,31.68,2.54,0.39,2.36,0.36,0.18,0.03,0.21040531379224922,0.2966556382214276,0.16510714285714287
65.88,3.21,0.22,16.22,1.19,0.04,1.1,0.04,0.09,0.0,0.2453927536648247,0.3714523809523809,0.04
29.33,1.16,0.03,7.79,0.47,0.01,0.44,0.01,0.03,0.0,0.26494441386556095,0.3,0.01
13.1,0.55,0.0,3.55,0.24,0.0,0.23,0.0,0.01,0.0,0.2655537936934996,0.20666666666666664,0.0
10.01,0.48,0.0,3.25,0.18,0.0,0.16,0.0,0.02,0.0,0.31463948551448545,0.15333333333333335,0.0
