undir_pair,dir_spair,dir_ppair,undir_conn,dir_sconn,dir_pconn,dir_uni_sconn,dir_uni_pconn,dir_bi_sconn,dir_bi_pconn,undir_perc,dir_sperc,dir_pperc
1194.04,3539.25,2971.12,101.67,373.16,340.0,362.62,328.73,10.54,11.27,0.08514383197437031,0.10543671962647233,0.11443659234885892
1486.57,1041.61,1458.42,152.05,148.9,188.17,142.74,181.37,6.16,6.8,0.1022938895367005,0.1429502388363307,0.12903580452010702
1083.36,262.71,416.08,136.75,50.72,58.04,48.17,55.92,2.55,2.12,0.1262295901861246,0.19287826311168557,0.13943633966836244
617.43,71.45,87.95,94.03,17.44,12.48,16.56,11.87,0.88,0.61,0.15227570474129376,0.2438818147058733,0.14200682756910724
309.31,21.94,14.19,55.32,6.67,2.0,6.31,1.86,0.36,0.14,0.17882379210529412,0.3076214979061135,0.1425926261971826
142.34,7.7,2.05,30.56,2.3,0.34,2.06,0.34,0.24,0.0,0.2145874611562916,0.2985574131750602,0.1270952380952381
64.79,2.89,0.17,15.77,1.0,0.03,0.9,0.03,0.1,0.0,0.24317073952877596,0.324056277056277,0.025
29.3,1.26,0.02,7.78,0.46,0.0,0.42,0.0,0.04,0.0,0.26451744839497127,0.2808333333333333,0.0
12.89,0.67,0.0,3.73,0.2,0.0,0.15,0.0,0.05,0.0,0.2841160832201853,0.1733333333333333,0.0
9.97,0.52,0.0,3.4,0.21,0.0,0.19,0.0,0.02,0.0,0.31445728995806377,0.17833333333333332,0.0
