neurons,autapses,actual_edges,uni,bi,potential_edges,null
111,0,678,636,21,12210,5448
111,0,699,649,25,12210,5431
111,0,641,601,20,12210,5484
111,0,668,618,25,12210,5462
111,0,654,622,16,12210,5467
111,0,688,644,22,12210,5439
111,0,656,608,24,12210,5473
111,0,667,619,24,12210,5462
111,0,660,634,13,12210,5458
111,0,647,607,20,12210,5478
111,0,687,661,13,12210,5431
111,0,675,623,26,12210,5456
111,0,686,638,24,12210,5443
111,0,649,587,31,12210,5487
111,0,676,636,20,12210,5449
111,0,663,619,22,12210,5464
111,0,620,584,18,12210,5503
111,0,661,631,15,12210,5459
111,0,688,638,25,12210,5442
111,0,664,618,23,12210,5464
111,0,671,623,24,12210,5458
111,0,648,618,15,12210,5472
111,0,676,634,21,12210,5450
111,0,618,590,14,12210,5501
111,0,645,597,24,12210,5484
111,0,678,636,21,12210,5448
111,0,634,590,22,12210,5493
111,0,641,591,25,12210,5489
111,0,635,601,17,12210,5487
111,0,644,602,21,12210,5482
111,0,619,589,15,12210,5501
111,0,631,591,20,12210,5494
111,0,641,599,21,12210,5485
111,0,612,578,17,12210,5510
111,0,676,634,21,12210,5450
111,0,643,599,22,12210,5484
111,0,663,611,26,12210,5468
111,0,635,593,21,12210,5491
111,0,688,638,25,12210,5442
111,0,659,625,17,12210,5463
111,0,664,628,18,12210,5459
111,0,642,602,20,12210,5483
111,0,649,603,23,12210,5479
111,0,676,642,17,12210,5446
111,0,630,592,19,12210,5494
111,0,646,590,28,12210,5487
111,0,646,600,23,12210,5482
111,0,631,593,19,12210,5493
111,0,633,605,14,12210,5486
111,0,649,597,26,12210,5482
111,0,663,625,19,12210,5461
111,0,643,597,23,12210,5485
111,0,718,664,27,12210,5414
111,0,672,628,22,12210,5455
111,0,633,597,18,12210,5490
111,0,610,588,11,12210,5506
111,0,652,600,26,12210,5479
111,0,682,644,19,12210,5442
111,0,639,603,18,12210,5484
111,0,677,649,14,12210,5442
111,0,668,622,23,12210,5460
111,0,615,581,17,12210,5507
111,0,657,611,23,12210,5471
111,0,692,636,28,12210,5441
111,0,671,629,21,12210,5455
111,0,670,632,19,12210,5454
111,0,718,668,25,12210,5412
111,0,658,614,22,12210,5469
111,0,686,648,19,12210,5438
111,0,612,580,16,12210,5509
111,0,673,611,31,12210,5463
111,0,661,621,20,12210,5464
111,0,677,627,25,12210,5453
111,0,681,649,16,12210,5440
111,0,650,610,20,12210,5475
111,0,657,615,21,12210,5469
111,0,656,622,17,12210,5466
111,0,634,600,17,12210,5488
111,0,659,613,23,12210,5469
111,0,698,646,26,12210,5433
111,0,664,626,19,12210,5460
111,0,693,647,23,12210,5435
111,0,645,605,20,12210,5480
111,0,633,601,16,12210,5488
111,0,653,611,21,12210,5473
111,0,663,605,29,12210,5471
111,0,660,620,20,12210,5465
111,0,670,640,15,12210,5450
111,0,694,640,27,12210,5438
111,0,675,625,25,12210,5455
111,0,671,615,28,12210,5462
111,0,691,653,19,12210,5433
111,0,682,636,23,12210,5446
111,0,657,615,21,12210,5469
111,0,698,652,23,12210,5430
111,0,681,627,27,12210,5451
111,0,611,575,18,12210,5512
111,0,689,643,23,12210,5439
111,0,639,593,23,12210,5489
111,0,640,596,22,12210,5487
111,0,621,593,14,12210,5498
111,0,637,605,16,12210,5484
111,0,685,633,26,12210,5446
111,0,667,623,22,12210,5460
111,0,663,617,23,12210,5465
111,0,646,624,11,12210,5470
