segmentation,segment_id,manual_id,loc,axon_len,dendrite_len
185,648518346349533058,207,[284776 195832  34400],1716.26175,2688.03575
185,648518346349533227,22,[335972 194192   5120],0.0,3294.255
185,648518346349533252,313,[176588 291132  57200],0.0,604.5225
185,648518346349533267,83,[265724 201544   8680],87.4497421875,1930.220625
185,648518346349533350,158,[417532 186136  24000],1921.608625,1768.50075
185,648518346349533482,115,[239724 206772  19520],705.3670625,2118.12425
185,648518346349533719,346,[436876 164764  59120],1288.796,978.933125
185,648518346349533811,29,[328996 223872   6520],84.69325,2487.6405
185,648518346349533867,400,[227548 295796  69400],0.0,921.9623125
185,648518346349534048,393,[415640 211456  69400],55.07257421875,2170.85325
185,648518346349534057,23,[462508 252588   7760],0.0,1036.6443125
185,648518346349534072,112,[437428 216076  19840],96.053359375,1032.50675
185,648518346349534079,128,[277104 258408  24320],36.50608984375,2163.061
185,648518346349534289,116,[269748 174800  18760],1351.724875,1676.433625
185,648518346349534292,444,[290776 184996  77120],0.0,2334.087
185,648518346349534360,488,[332316 169132  82200],0.0,1559.55
185,648518346349534580,94,[250384 231224   5840],67.935546875,996.5175
185,648518346349534614,386,[472500 184840  66880],0.0,529.1610625
185,648518346349534794,160,[448752 182604  26240],1094.293875,973.0901875
185,648518346349534855,228,[381792 176848  35720],1104.4465,2042.126
185,648518346349534945,471,[203988 198512  79600],38.85747265625,729.685125
185,648518346349535007,108,[299340 290248  17440],0.0,1648.2350000000001
185,648518346349535074,184,[320368 265604  28200],26.6368125,2044.3125
185,648518346349535102,441,[473284 216448  79000],0.0,0.0
185,648518346349535192,261,[292228 168100  43880],1873.4625,2027.315
185,648518346349535264,140,[195616 249000  17000],0.0,955.7470625
185,648518346349535286,355,[192000 294160  61240],0.0,388.694875
185,648518346349535300,6,[417288 276448   3720],18.004166015625,482.05075
185,648518346349535363,233,[202948 205428  38680],775.9801875,1148.74925
185,648518346349535435,323,[218564 271324  52840],0.0,1429.171625
185,648518346349535473,317,[473868 275108  57200],0.0,830.38325
185,648518346349535823,411,[384060 231140  70160],72.7806328125,2748.028
185,648518346349535847,318,[431024 255716  57920],37.2026875,2329.8155
185,648518346349536159,397,[270356 279776  75880],0.0,1439.08275
185,648518346349536205,212,[236448 258300  36040],32.88699609375,1912.41875
185,648518346349536312,88,[252056 206400  11880],89.125375,1824.63575
185,648518346349536354,183,[346192 297776  27160],0.0,1031.6184375
185,648518346349536366,24,[232276 251304   6200],34.805609375,1350.4470000000001
185,648518346349536391,5,[440980 237032   3680],0.0,887.281625
185,648518346349536478,99,[187620 265656  14480],0.0,611.591375
185,648518346349536534,76,[217628 284188  14160],0.0,927.7785
185,648518346349536679,27,[269864 187108   6360],2096.331125,1593.862875
185,648518346349536680,258,[425812 230988  43480],1035.913,2297.109
185,648518346349536748,424,[206208 171896  74040],0.0,884.5176875
185,648518346349536753,77,[233416 291556  14760],0.0,720.151875
185,648518346349536769,146,[205744 281308  26000],0.0,793.90925
185,648518346349536788,195,[277704 271880  15840],19.679349609375,1932.5620000000001
185,648518346349536809,3,[288700 193600   2440],863.002625,1309.36375
185,648518346349536811,186,[257264 295912  27320],0.0,1136.3355
185,648518346349536816,-1,[392112 159676   9280],1646.459125,846.429875
185,648518346349536851,320,[419480 289884  57840],0.0,1803.496
185,648518346349536921,426,[357940 177928  76720],32.9686015625,1991.48225
185,648518346349536924,496,[389756 256880  85760],0.0,1051.603875
185,648518346349536929,396,[247816 276016  69440],0.0,1870.66725
185,648518346349536966,117,[367400 251232  20920],45.8585625,2761.2715
185,648518346349536988,214,[403592 174200  35640],1296.847,1483.088125
185,648518346349536997,167,[433420 305380  30680],0.0,935.898
185,648518346349537003,391,[415256 294648  67600],0.0,1780.7835
185,648518346349537007,273,[462552 178848  49520],60.6284921875,1053.2585
185,648518346349537038,105,[308788 247092  17120],55.7016015625,2015.68725
185,648518346349537042,113,[395656 244996  17000],53.9676640625,2220.199
185,648518346349537047,20,[385932 280060   6240],0.0,1491.914125
185,648518346349537071,-1,[194144 184848  80640],0.0,589.4680000000001
185,648518346349537075,494,[268352 293000  85160],0.0,1182.081625
185,648518346349537081,339,[284440 160644  58160],675.883125,2214.4035
185,648518346349537102,200,[280380 291772  30680],0.0,1653.76825
185,648518346349537145,35,[420796 181648   1520],658.057625,300.04359375
185,648518346349537153,38,[361728 213676   4160],892.7826875,1414.630375
185,648518346349537160,155,[260580 187524  21400],1374.136625,2163.3905
185,648518346349537167,62,[271672 171536   7480],1067.945625,971.5980625
185,648518346349537242,296,[258184 252756  51040],43.167,2023.76575
185,648518346349537243,319,[451540 296560  57920],0.0,1247.23575
185,648518346349537255,490,[402976 197344  85840],0.0,1488.48375
185,648518346349537270,361,[428284 244620  62800],61.76048046875,2048.17075
185,648518346349537271,16,[443132 193860   1520],0.0,811.622
185,648518346349537297,342,[447248 232580  59920],282.6565,1861.01875
185,648518346349537300,405,[300988 208980  73000],46.05910546875,1996.531
185,648518346349537331,453,[429700 203476  76120],41.830484375,1990.151625
185,648518346349537380,311,[387896 292664  53960],0.0,1659.3210000000001
185,648518346349537385,303,[227692 169224  53640],1100.326125,1591.91275
185,648518346349537391,192,[305508 206576  31840],593.304875,2494.6425
185,648518346349537426,406,[250788 166836  70720],741.6985,1540.977875
185,648518346349537434,511,[272980 212632  84440],0.0,2380.5575
185,648518346349537482,442,[470380 205936  70760],0.0,1244.483125
185,648518346349537486,340,[279228 151428  59440],0.0,1062.34825
185,648518346349537487,15,[267004 227156   4800],686.951,1566.005375
185,648518346349537489,395,[199508 262452  71120],29.628134765625,905.387375
185,648518346349537492,497,[396396 284284  86080],0.0,953.172625
185,648518346349537509,130,[301024 225608  22840],68.444265625,2762.132
185,648518346349537513,353,[292744 269032  63000],0.0,2294.7
185,648518346349537514,114,[355356 186864  19280],1439.1689999999999,2158.6005
185,648518346349537515,103,[448164 286424  19560],0.0,1252.30425
185,648518346349537516,251,[270532 225592  42240],67.9171484375,2684.3605
185,648518346349537547,126,[264728 230792  20280],66.493546875,2191.37825
185,648518346349537609,390,[441116 302784  76880],0.0,835.860125
185,648518346349537615,202,[408372 295700  36120],0.0,1324.989
185,648518346349537641,21,[308720 223920   7400],81.1794765625,1717.273375
185,648518346349537649,56,[434836 277960   7800],20.3738671875,1223.63875
185,648518346349537657,134,[284856 234340  26840],48.09365625,3120.17525
185,648518346349537687,347,[394756 169992  61840],59.422046875,1442.77175
185,648518346349537692,422,[283512 261264  74320],25.830734375,2380.63
185,648518346349537716,254,[345788 181348  41480],2189.239,1823.66375
185,648518346349537717,357,[275980 188668  61440],324.0693125,2673.05825
185,648518346349537718,383,[365336 253700  69560],34.925375,2802.19475
185,648518346349537741,484,[342356 293356  82440],0.0,851.9315
185,648518346349537790,431,[352492 274984  79040],21.5062578125,2268.38525
185,648518346349537798,46,[307692 164492   2640],0.0,883.79725
185,648518346349537808,495,[420248 258936  84760],0.0,1752.49225
185,648518346349537814,382,[334456 236808  69280],67.4329921875,2950.7205
185,648518346349537818,175,[404668 225808  27400],718.1669999999999,2372.179
185,648518346349537827,44,[281904 208404   1240],0.0,1080.952875
185,648518346349537828,540,[316648 158044  85320],0.0,1590.039375
185,648518346349537835,229,[226948 182532  38200],1061.3805,1091.68275
185,648518346349537840,33,[370404 183152   5040],42.00284765625,3642.09925
185,648518346349537844,240,[467932 163664  39240],77.8676171875,406.4001875
185,648518346349537848,17,[438752 214628   5080],401.0986875,1249.432375
185,648518346349537851,127,[251424 282576  20000],0.0,1772.312625
185,648518346349537853,476,[297024 271748  81800],0.0,1861.671
185,648518346349537860,249,[237472 204924  42120],1118.538875,2413.606
185,648518346349537883,356,[232300 188020  61200],74.28678125,1622.568
185,648518346349537897,520,[397760 207380  81120],25.337232421875,1565.370875
185,648518346349537901,377,[384996 305680  61000],0.0,1711.53825
185,648518346349537913,298,[285044 194224  48960],797.6040625,3020.8165
185,648518346349537946,315,[182188 248404  56040],37.60746484375,635.857
185,648518346349537961,220,[465256 232936  37320],0.0,1028.191875
185,648518346349537978,110,[390140 179092  18760],2369.9405,1747.6765
185,648518346349537981,232,[204464 188132  38880],818.072875,1260.36825
185,648518346349537984,-1,[260560 164864  82840],0.0,2057.38925
185,648518346349537989,351,[274604 266068  61120],0.0,1964.90875
185,648518346349537991,469,[377488 210500  81120],0.0,2164.25875
185,648518346349537993,379,[341904 205556  66760],37.864375,2954.7085
185,648518346349537996,322,[208400 270000  48360],0.0,1683.58325
